@startuml

class Customer {}
class Account {}
class Branch {}
class Bank {}

Customer "1..5" -- "1..*" Account
Account "1" -- "1" Customer
Account "1" -- "1" Branch
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
Account "1" -- "1" Account
