sub_folder_name,level,level_label,level_rank,z_index,n_tokens,mdd,subordination_index,parse_tree_depth,parse_tree_depth_max,flesch_reading_ease,rst_depth_proxy,context_dependence_proxy,inferential_load_proxy
AirTravel,zero,L0 (minimal),0,7.817393622031957,449,36.0677570093458,0.8333333333333334,14.0,14.0,-126.81982758620686,1.0,0.8333333333333334,3.0
AirTravel,one,L1 (simple),1,-0.10138290478554668,328,1.960431654676259,0.1276595744680851,2.5121951219512195,4.0,70.78694725719825,0.12195121951219512,0.5294117647058824,0.21951219512195122
AirTravel,two,L2 (mid),2,0.07157528367535429,306,2.4870848708487086,0.14705882352941177,3.0689655172413794,5.0,66.16684824902725,0.1724137931034483,0.5,0.3103448275862069
AirTravel,three,L3 (real),3,0.22647254349574672,292,2.5358490566037735,0.2,4.15,6.0,62.43335323886643,0.15,0.5,0.55
AirTravel,four,L4 (flat),4,-0.18938795517671486,428,1.8324022346368716,0.0,2.1475409836065573,4.0,72.82319119543195,0.01639344262295082,0.6333333333333333,0.13114754098360656
Boeing,zero,L0 (minimal),0,1.5702301419580496,342,6.753894080996885,0.6,4.875,11.0,16.95620953237409,0.125,1.0,0.5
Boeing,one,L1 (simple),1,0.14553648166166488,249,2.265765765765766,0.14285714285714285,3.5,8.0,64.79676639020539,0.125,0.5,0.5416666666666666
Boeing,two,L2 (mid),2,0.5297742142769236,255,2.534188034188034,0.28,4.611111111111111,8.0,49.738333333333344,0.2777777777777778,0.7222222222222222,0.7777777777777778
Boeing,three,L3 (real),3,0.8887795986120991,250,2.7974683544303796,0.5,6.0,11.0,41.21293542905693,0.45454545454545453,0.6428571428571429,1.1818181818181819
Boeing,four,L4 (flat),4,0.047834862909464974,290,1.9473684210526316,0.04878048780487805,2.5128205128205128,5.0,49.66097309794034,0.07692307692307693,0.6666666666666666,0.38461538461538464
