sub_folder_name,metric,level,value,l3_value,ratio,rank_ok,band_ok,degenerate
AirTravel,mdd,zero,36.0677570093458,2.5358490566037735,14.223148225411661,True,True,False
AirTravel,subordination_index,zero,0.8333333333333334,0.2,4.166666666666667,True,False,False
AirTravel,context_dependence_proxy,zero,0.8333333333333334,0.5,1.6666666666666667,True,True,False
AirTravel,mdd,one,1.960431654676259,2.5358490566037735,0.773086887632751,True,True,False
AirTravel,subordination_index,one,0.1276595744680851,0.2,0.6382978723404255,True,True,False
AirTravel,context_dependence_proxy,one,0.5294117647058824,0.5,1.0588235294117647,True,True,False
AirTravel,mdd,two,2.4870848708487086,2.5358490566037735,0.9807700755578985,True,False,False
AirTravel,subordination_index,two,0.14705882352941177,0.2,0.7352941176470588,True,True,False
AirTravel,context_dependence_proxy,two,0.5,0.5,1.0,True,True,False
AirTravel,context_dependence_proxy,zero,0.8333333333333334,0.5,,True,True,False
AlphaInsurance,mdd,zero,8.17117117117117,3.400537634408602,2.4029056724708897,True,True,False
AlphaInsurance,subordination_index,zero,0.7878787878787878,0.5833333333333334,1.3506493506493504,True,True,False
AlphaInsurance,context_dependence_proxy,zero,0.7142857142857143,0.45098039215686275,1.5838509316770186,True,True,False
AlphaInsurance,mdd,one,2.3753351206434314,3.400537634408602,0.6985175216437601,True,True,False
AlphaInsurance,subordination_index,one,0.3018867924528302,0.5833333333333334,0.5175202156334231,True,True,False
AlphaInsurance,context_dependence_proxy,one,0.4098360655737705,0.45098039215686275,0.9087669280114041,True,True,False
AlphaInsurance,mdd,two,2.801630434782609,3.400537634408602,0.8238786733115656,True,True,False
AlphaInsurance,subordination_index,two,0.4186046511627907,0.5833333333333334,0.717607973421927,True,True,False
AlphaInsurance,context_dependence_proxy,two,0.38461538461538464,0.45098039215686275,0.8528428093645485,True,True,False
AlphaInsurance,context_dependence_proxy,zero,0.7142857142857143,0.45098039215686275,,True,True,False
BankAccount,mdd,zero,9.397350993377483,2.5,3.758940397350993,True,True,False
BankAccount,subordination_index,zero,0.3333333333333333,0.09090909090909091,3.6666666666666665,True,False,False
BankAccount,context_dependence_proxy,zero,0.5454545454545454,0.3333333333333333,1.6363636363636362,True,True,False
BankAccount,mdd,one,2.0869565217391304,2.5,0.8347826086956521,True,True,False
BankAccount,subordination_index,one,0.0625,0.09090909090909091,0.6875,True,True,False
